,Orase
0,Abrud
1,Adjud
2,Aiud
3,Alba Iulia
4,Aleşd
5,Alexandria
6,Agnita
7,Anina
8,Aninoasa
9,Arad
10,Avrig
11,Azuga
12,Babadag
13,Bacău
14,Baia de Aramă
15,Baia de Arieş
16,Baia Mare
17,Baia Sprie
18,Balş
19,Baraolt
20,Băicoi
21,Băile Govora
22,Băile Herculane
23,Băile Olăneşti
24,Băileşti
25,Băile Tuşnad
26,Bălan
27,Bârlad
28,Bocşa
29,Borsec
30,Beclean
31,Beiuş
32,Bereşti
33,Bicaz
34,Bistriţa
35,Blaj
36,Boldeşti-Scăieni
37,Bolintin-Vale
38,Borşa
39,Botoşani
40,Brad
41,Braşov
42,Brăila
43,Breaza
44,Brezoi
45,Bucureşti
46,Budeşti
47,Buftea
48,Buhuşi
49,Bumbeşti-Jiu
50,Buşteni
51,Buziaş
52,Buzău
53,Calafat
54,Carei
55,Caracal
56,Caransebeş
57,Cavnic
58,Călan
59,Călăraşi
60,Călimăneşti-Căciulata
61,Câmpeni
62,Câmpia Turzii
63,Câmpina
64,Câmpulung
65,Câmpulung Moldovenesc
66,Cehu Silvaniei
67,Cernavodă
68,Chişineu-Criş
69,Cisnădie
70,Cluj-Napoca
71,Codlea
72,Comarnic
73,Comăneşti
74,Constanţa
75,Copşa Mică
76,Corabia
77,Costeşti
78,Covasna
79,Craiova
80,Cristuru Secuiesc
81,Cugir
82,Curtici
83,Curtea de Argeş
84,Darabani
85,Dărmăneşti
86,Dealu
87,Dej
88,Deta
89,Deva
90,Dorohoi
91,Drăgăneşti-Olt
92,Drăgăşani
93,Drobeta-Turnu Severin
94,Dumbrăveni
95,Eforie
96,Făgăraş
97,Făget
98,Fălticeni
99,Făurei
100,Feteşti
101,Fieni
102,Filiaşi
103,Focşani
104,Fundulea
105,Galaţi
106,Găeşti
107,Geoagiu
108,Gheorgheni
109,Gherla
110,Giurgiu
111,Gura Humorului
112,Haţeg
113,Hârlău
114,Hârşova
115,Horezu
116,Huedin
117,Hunedoara
118,Huşi
119,Ianca
120,Iaşi
121,Iernut
122,Ineu
123,Isaccea
124,Însurăţei
125,Întorsura Buzăului
126,Jibou
127,Jimbolia
128,Lehliu Gară
129,Lipova
130,Luduş
131,Lugoj
132,Lupeni
133,Mangalia
134,Marghita
135,Măcin
136,Mărăşeşti
137,Medgidia
138,Mediaş
139,Miercurea Ciuc
140,Mihăileşti
141,Mioveni
142,Mizil
143,Moineşti
144,Moldova Nouă
145,Moreni
146,Motru
147,Murfatlar
148,Nădlac
149,Năsăud
150,Năvodari
151,Negreşti
152,Negreşti-Oaş
153,Negru Vodă
154,Nehoiu
155,Novaci
156,Nucet
157,Ocna Mureş
158,Ocna Sibiului
159,Ocnele Mari
160,Odobeşti
161,Odorheiu Secuiesc
162,Olteniţa
163,Oneşti
164,Oradea
165,Oraviţa
166,Orăştie
167,Orşova
168,Otopeni
169,Oţelu Roşu
170,Ovidiu
171,Panciu
172,Paşcani
173,Pâncota
174,Petrila
175,Petroşani
176,Piatra Neamţ
177,Piatra Olt
178,Piteşti
179,Ploieşti
180,Plopeni
181,Pogoanele
182,Predeal
183,Pucioasa
184,Rădăuţi
185,Râmnicu Sărat
186,Râmnicu Vâlcea
187,Râşnov
188,Reghin
189,Reşiţa
190,Roman
191,Roşiori de Vede
192,Rovinari
193,Rupea
194,Salonta
195,Satu Mare
196,Săcele
197,Săveni
198,Sângeorz-Băi
199,Sânnicolau Mare
200,Scorniceşti
201,Sebeş
202,Sebiş
203,Seini
204,Segarcea
205,Sfântu Gheorghe
206,Sibiu
207,Sighetu Marmaţiei
208,Sighişoara
209,Simeria
210,Sinaia
211,Siret
212,Slatina
213,Slănic
214,Slănic Moldova
215,Slobozia
216,Solca
217,Sovata
218,Strehaia
219,Suceava
220,Sulina
221,Şimleu Silvaniei
222,Ştei
223,Tălmaciu
